ExhibitId, Name, Price, DatePurchased
40,"Bandola (plucked lute from Cuba,269.1,2017/01/25
41,Hsaio (Chinese Duct Flute),468.5,1997/11/03
42,Tjelempung/ Celempung (Javanese zither),212.9,2004/09/08
43,Cuatro (Latin American lute),844.8,2006/10/30
44,Singing bowl/ rin gong (Himalayan standing bell),145.2,1999/12/04
45,Cigar box guitar,807.9,1995/01/07
46,Ocarina,502.1,2017/01/30
47,Shekere (African rattle),341.5,2007/12/16
48,Viola d’amore,33.0,2006/09/15
49,Saw sam sai (Thai bowed stringed instrument),485.8,2016/09/15
50,Alto horn,345.1,2006/05/03
51,Bass / baritone oboe,710.5,2001/05/18
52,Cabrette (French bagpipe),513.4,1999/10/26
53,Willow flute,936.0,1994/08/19
54,Guitar,938.2,2000/01/26
55,Slit drum,946.0,1998/07/17
56,Lusheng (Chinese bamboo pipes),92.7,2015/02/23
57,Xiao (Chinese flute),839.6,2005/02/11
58,English Horn/ Cor Anglais (French tenor Oboe),36.6,2002/02/12
59,Zither,150.1,2012/07/06
60,Gambang (Indonesian xylophone),507.0,2012/12/13
61,Conga (Caribbean drum),183.9,1995/02/15
62,Crotales (Struck cymbals),225.2,1997/09/25
63,Trompeta china (Cuban suona),762.5,2010/10/23
64,Rajao (Portuguese guitar),188.2,2015/02/14
65,Hocchiku (Japanese flute),483.5,2005/12/19
66,Mandolin,959.7,2015/02/27
67,Lyre,150.2,2015/09/27
68,Darabukka (Arabic drum),661.0,1998/02/04
69,Ondes martenot (electronic keyboard and slide),342.2,2010/01/20
70,Lithophone (stone barred xylophone),397.6,2013/06/11
71,Huemmelchen (German smallpipes),360.4,2004/08/10
72,Acoustic guitar,731.5,2008/09/13
73,Flageolets,318.6,1998/08/10
74,Duxianqin (Chinese one-stringed zither),215.1,1995/05/16
75,Dholak (North Indian hand drum),827.9,2004/09/30
76,Soprano saxophone,705.7,2016/04/18
77,Ophicleide,198.3,2008/11/27
78,Viola,81.3,2013/02/22
79,Tsuri-daiko (Japanese hanging drum),76.3,2003/11/02
80,Synclavier,519.1,2003/01/26
81,Melodica,227.8,2009/12/05
82,Irish bouzouki,259.6,2008/02/12
83,Banjo,63.5,1997/03/20
84,Caxixi (Brazilian idiophone),174.0,1998/09/24
85,Riq/ riqq/ rik (Arabic tambourine),114.2,1998/03/09
86,Udu (African clay drum),982.0,1998/09/08
87,Rattle,756.2,1994/08/20
88,Turntables,141.5,2004/12/25
89,Dutar (Central Asian lute),956.5,2018/02/17
90,Theorbo (lower-toned lute),713.5,2011/05/24
91,Alboka (Spanish double hornpipe),188.1,2008/02/14
92,Cornish bagpipes,693.5,2008/09/26
93,Slit drum,900.8,2011/06/04
94,Psaltery (plucked zither),514.1,1993/09/28
95,Octave mandolin,196.6,2013/06/01
96,Melodica,424.3,2000/09/13
97,Guitar 12 Strings,515.9,2006/09/23
98,Agung (Philippine gong),282.6,2000/05/21
99,French Horn,355.6,2011/06/10
100,Yueh Ch’in (Chinese lute),159.2,1994/03/17
101,Mandolin,104.6,2011/03/25
102,Hegelong (Philippine fretted boat-lute),826.0,2003/03/19
103,Ophicleide,183.8,2007/02/18
104,Oboe da caccia,73.3,2008/09/29
105,Nay (Syrian wooden flute),530.6,2003/07/22
106,Basset horn,825.7,2008/01/09
107,Crumhorn,343.8,2001/04/28
108,Dulzaina (Spanish oboe),853.9,2011/03/11
109,Bongo drum,330.6,1996/08/07
110,Alto horn,448.2,2004/10/16
111,Wagner Tuba,911.5,2016/05/30
112,Aru-ding or kubing  (Philippine Jew’s harp),451.5,2003/06/05
113,Rainstick,827.8,1993/05/10
114,Ratchet,996.5,1999/05/31
115,Berimbau (Brazilian musical bow),786.1,2015/05/09
116,Clapped hands,920.2,2014/03/04
117,Cimpoi (Romanian bagpipe),453.7,1998/01/06
118,Babendil (Philippine gong),146.3,1998/08/30
119,Guiro (South & Central American notched gourd that is scraped),444.5,1995/04/28
120,Vertical viola,579.2,2009/07/14
121,Mandolin,648.7,2015/01/19
122,Hegelong (Philippine fretted boat-lute),198.1,2014/06/25
123,Fiscarmonica (Italian Accordian),529.7,2015/09/27
124,Caxixi (Brazilian idiophone),30.7,2010/01/19
125,Ektara (Indian one-string),782.2,2017/09/04
126,Da’uli da’uli (Indonesian xylophone),860.6,2007/03/28
127,Hooked harp,615.0,2012/03/03
128,Bass saxophone,725.8,2011/09/11
129,Bullroarer,584.5,2005/05/06
130,Octave mandolin,670.4,2016/01/23
131,Concertina,415.9,1996/03/28
132,Great Irish warpipes,521.0,1998/10/30
133,Bandurria (Spanish / Latin American plucked lute),417.3,2013/07/30
134,Mridangam (South Indian drum),957.0,1999/05/06
135,Rattle,608.4,2007/09/04
136,Musette de cour (French bagpipe),607.1,2013/03/20
137,Serpent,166.7,2018/05/21
138,Dubreq stylophone,400.9,2009/08/10
139,Guqin (Chinese plucked zither),165.7,2012/08/06
140,French Horn,933.5,2004/07/07
141,Bandone?n (Argentinian concertina),359.7,2012/04/17
142,Contra-alto flute,778.1,2009/05/14
143,Rebec (15th/ 16th century rebab),932.5,2002/06/28
144,Jew’s harp,305.0,2006/01/23
145,Aru-ding or kubing  (Philippine Jew’s harp),239.8,1994/03/17
146,Leiqin (Chinese bowed instrument),148.6,2013/05/12
147,Chimes,773.8,2006/07/13
148,Yazheng (Chinese zither),953.1,2000/01/23
149,Khol (South Indian drum),422.1,1998/10/10
150,Vichitra veena (Indian stringed instrument),183.9,1998/02/28
151,Conga (Caribbean drum),917.1,2015/12/22
152,Pastoral pipes,896.2,2002/04/03
153,Hang (steel hand drum),255.0,2011/03/09
154,Bass sarrusophone,409.4,2011/12/01
155,Siren,586.4,2004/05/03
156,Croatian bagpipes,708.5,2013/01/31
157,Rainstick,717.2,2008/09/17
158,Bass / baritone oboe,688.6,2003/06/23
159,Mangtong (Chinese bamboo pipes),811.1,1993/08/19
160,Dudelsack (German bagpipe),321.4,1996/10/16
161,Piano,636.2,2007/04/01
162,Electric organ,318.7,2002/08/23
163,Jiaohu (Chinese bowed stringed instrument),121.2,2016/10/27
164,Archlute,22.4,2013/05/18
165,Vertical viola,781.6,2000/08/22
166,Gehu (Chinese cello-like),590.9,2018/03/05
167,Vertical flute,610.0,2007/03/25
168,Heckelphone,54.4,2007/05/14
169,Alphorn,30.7,2002/12/10
170,Fiscarmonica (Italian Accordian),93.7,2005/09/09
171,Kaval (Slovakian Duct Flute),164.7,1999/10/31
172,Baglama/ saz (Turkish strings),543.2,2007/10/02
173,Ipu (Hawaiian rattle),631.7,2008/10/18
174,Janggu (Korean drum),542.0,1995/08/05
175,Baritone horn,688.7,2012/05/09
176,Bass sarrusophone,987.9,1992/12/01
177,Zhuihu (Chinese bowed stringed instrument),23.9,2006/01/05
178,Gajdy (Eastern European bagpipes),738.8,2003/02/23
179,Trekspill (Norwegian Accordian),102.0,2008/02/19
180,Vertical flute,315.3,1995/09/03
181,Singing bowl/ rin gong (Himalayan standing bell),111.5,2008/07/23
182,Vichitra veena (Indian stringed instrument),774.8,2018/04/04
183,Saenghwang (Korean mouth organ),951.1,1994/07/15
184,Carillon (Dutch harmonising bells),956.8,1996/07/10
185,Slide guitar,215.4,2008/02/20
186,Tuhu (Chinese bowed stringed instrument),702.5,1994/12/15
187,Huluhu (Chinese bowed stringed instrument),678.0,1997/11/08
188,Teponaztli (Mexican wooden drum),550.8,2014/08/21
189,Sabar (Senegalese drum),460.5,1996/08/27
190,Zaqq (Maltese bagpipe),667.0,2018/03/29
191,Sopranino clarinet,914.3,2010/12/02
192,Sampho (Cambodian barrel drum),360.6,2010/08/05
193,Shekere (African rattle),206.6,2014/07/27
194,Yazheng (Chinese zither),831.1,2000/07/29
195,Pipa (Chinese lute),227.4,2007/04/06
196,Tubular Bells,807.3,2009/11/26
197,Trompeta china (Cuban suona),804.1,2016/08/02
198,Mittlealtersackpfeife (German medieval bagpipe),265.9,2002/03/08
199,Bass Drum,284.9,2011/03/07
200,Viola da gamba,689.2,1997/02/25
201,Thavil (Indian drum),232.4,2005/12/04
202,Cittern (Renaissance lute),882.0,2007/02/19
203,Kokyu (Japanese bowed instrument),459.3,1996/06/21
204,Cimbasso,375.9,2014/08/25
205,Lambeg (Irish drum),730.0,2000/05/27
206,Piccolo clarinet,246.3,2000/04/19
207,Baritone horn,509.4,2002/12/22
208,Octocontrabass clarinet,675.9,2004/01/13
209,Didgeridoo (Aboriginal Natural Trumpet),833.6,2015/09/15
210,Nay (Syrian wooden flute),265.9,2000/06/09
211,Saxonette,894.4,1997/05/18
212,Gottuvadhyam (Indian 21-stringed guitar),162.0,2007/02/11
213,Pulalu (Philippine flute),87.7,1995/12/23
214,Shawm (Renaissance oboe),166.9,2013/12/31
215,Contrabass saxophone,393.0,2005/06/15
216,Denis d’or (ancient Czech chordophone),139.9,1994/03/27
217,Piva (Northern Italian bagpipe),341.1,2018/09/04
218,Bock (German bagpipes),686.7,2015/11/29
219,Sihu (Chinese bowed stringed instrument),249.2,2009/02/06
220,Transverse Flute (Traditional Flute),291.2,1999/09/28
221,Piano,723.2,1998/10/22
222,Chitarrone (lower-toned lute),698.3,2008/06/17
223,Suona (Chinese serunai),679.9,2016/02/06
224,Snare Drum,243.8,1996/12/10
225,Banjo,490.8,2011/08/10
226,Hurdy Gurdy,660.9,2001/06/01
227,Timple (Canary Islands/ Murcia ukulele),700.6,2004/04/02
228,Bazooka (telescopic brass tubing),249.7,2018/04/05
229,Bouzouki (Greek lute),391.3,1997/06/29
230,Torupill (Estonian bagpipe),383.5,1995/12/31
231,Boha (French bagpipe),945.3,1994/05/28
232,Igil (Tuvan bowed instrument),43.1,2015/12/06
233,Recorder (Descant),916.3,2002/03/07
234,Washtub bass,11.7,2000/11/26
235,Bawu (Chinese wind instrument shaped like a flute ),263.6,2004/07/06
236,Leiqin (Chinese bowed instrument),136.6,2012/01/16
237,Bombardino (Spanish Euphonium),113.3,2006/06/27
238,Bombarde,432.4,2012/10/10
239,Duct Flute,600.8,2009/02/27
240,Setar (Iranian lute),213.5,2012/10/12
241,Sang-auk (Burmese harp),592.0,2007/01/01
242,Slit drum,731.2,2017/12/13
243,Viola da gamba,722.4,2000/05/26
244,Hun (Korean flute),244.2,2014/05/10
245,Synclavier,850.8,2009/04/29
246,Clapped hands,485.4,1998/02/17
247,Gandingan (Philippine set of 4 hanging gongs),164.3,2004/10/05
248,Cuatro (Latin American lute),89.0,2009/05/18
249,Organ - electric,521.5,2013/12/31
250,S?ckpipa (Swedish bagpipe),205.0,2009/02/10
251,Kissar (West African lyre),683.8,2007/11/09
252,Chi (Chinese Transverse Flute),743.7,2000/01/05
253,Udu (African clay drum),518.2,1995/03/03
254,Tres (Cuban chordophone),486.7,2002/07/18
255,Denis d’or (ancient Czech chordophone),432.7,1994/11/22
256,Banhu (Chinese bowed stringed instrument),707.6,2001/04/23
257,Shofar (Jewish horn),630.3,2011/11/14
258,Vielle (French hurdy gurdy),472.8,2006/08/10
259,Tin whistle,777.4,2009/07/07
260,Sampler,757.0,1997/04/04
261,Janggu (Korean drum),170.8,2017/02/21
262,Shinobue (Japanese flute),672.1,2002/01/07
263,"Bandola (plucked lute from Cuba,931.6,2018/05/11
264,Basset clarinet,719.5,2005/11/06
265,Tromboon/ babone,605.5,1995/02/14
266,Cabrette (French bagpipe),180.6,1997/08/10
267,Castanets,858.1,2001/04/14
268,Chromatic accordian,353.2,1993/07/06
269,Bandone?n (Argentinian concertina),583.0,2004/10/08
270,Spoons,808.2,2015/12/27
271,Khol (South Indian drum),110.3,1993/10/31
272,Double Bass,509.9,2012/01/30
273,Ophicleide,138.7,2015/12/23
274,Metallophones (metal barred xylophone),74.2,1998/01/08
275,Teponaztli (Mexican wooden drum),234.3,2006/09/05
276,Turntables,746.7,2012/03/07
277,Knatele (Finnish zither),24.4,2013/04/30
278,Nay (Syrian wooden flute),328.1,2007/02/02
279,Musette bressane (French bagpipe),665.5,2002/11/25
280,Kutiyapi (Philippine fretted boat-lute),55.4,2001/09/25
281,Dudelsack (German bagpipe),656.0,2002/02/15
282,Moodswinger (zither),671.7,2012/06/20
283,Soprano saxophone,302.3,2007/12/05
284,Button accordian,392.5,1997/11/01
285,Musical Saw (wood cutting saw),697.6,2013/04/15
286,Rattle,371.2,2011/06/18
287,Classical guitar,958.2,2014/04/03
288,Tabla (Indian/ Pakistani drum),647.7,2008/07/21
289,Ektara (Indian one-string),391.6,2002/04/14
290,Duxianqin (Chinese one-stringed zither),805.1,2002/03/29
291,Sanxian (Chinese lute),670.4,1999/09/27
292,Singing bowl/ rin gong (Himalayan standing bell),851.9,1996/12/06
293,Gandingan a kayo (Philippine xylophone),658.0,2015/08/20
294,Cu?ca (Brazilian drum),99.6,2003/12/13
295,Psaltery (plucked zither),84.4,2006/05/22
296,Guan (Chinese pipe),815.9,2010/06/23
297,Kadlong (Philippine fretted boat-lute),301.5,2009/09/17
298,Bianqing (Chinese stone chimes),200.4,2004/07/22
299,Viola da gamba,457.0,2014/09/20
300,Ocarina,751.6,2009/04/04
301,Tea chest bass (skiffle bass),117.2,2017/11/02
302,Tsuri-daiko (Japanese hanging drum),492.5,2014/08/30
303,Mandolin,671.0,2008/12/08
304,Border pipe/ lowland bagpipe,171.3,2013/07/15
305,Sousaphone,784.7,2013/12/07
306,Timpani/ kettle drum,199.5,2011/01/15
307,Musette bressane (French bagpipe),594.6,2003/07/03
308,Gehu (Chinese cello-like),624.0,1997/03/21
309,Tsuri-daiko (Japanese hanging drum),305.6,1996/10/31
310,Bass guitar,113.1,2010/03/09
311,Mridangam (South Indian drum),626.3,1998/02/22
312,Sopranino saxophone,840.3,2012/03/13
313,Gottuvadhyam (Indian 21-stringed guitar),694.9,2009/08/08
314,Tromboon/ babone,548.7,2005/10/14
315,Bianzhong (Chinese bronze bells ),143.1,1996/09/27
316,Sampho (Cambodian barrel drum),196.8,1998/09/11
317,Magyar duda (Hungarian bagpipes),673.9,2010/06/15
318,Conga (Caribbean drum),619.9,2002/08/17
319,Darvyra (Greek Duct Flute),967.3,2000/01/07
320,Tambourine,674.1,1997/02/24
321,Bodega (French bagpipe),595.2,2013/04/08
322,Musette du centre (French bagpipe),298.2,2008/07/17
323,Archlute,173.6,2010/07/14
324,Mangtong (Chinese bamboo pipes),893.0,2015/01/06
325,soprillo,329.2,2013/08/04
326,Zhongdihu (bass erhu),962.2,2004/10/02
327,Koto (Japanese zither),209.3,1999/11/04
328,Crumhorn,13.0,2011/12/18
329,Finger Cymbals,52.6,1997/11/05
330,Doedelzak (Dutch bagpipe),715.3,2011/08/08
331,Baryton (German Euphonium),396.6,2017/09/10
332,Flute,135.5,2000/05/12
333,Pulalu (Philippine flute),744.7,2009/07/22
334,Istarski mih (Croatian bagpipe),544.8,2005/01/07
335,Oboe,124.1,2012/05/28
336,Slide guitar,373.3,2013/10/24
337,Alto horn,383.6,2018/03/15
338,H?licon,913.5,1998/08/28
339,Yu (Chinese bamboo pipes),273.6,2017/06/13
340,Hegelong (Philippine fretted boat-lute),642.9,2001/02/23
341,Dankiyo (Turkish bagpipe),160.1,2004/03/17
342,Gottuvadhyam (Indian 21-stringed guitar),141.5,2017/08/02
343,Huqin (Chinese bowed stringed instrument),73.5,2005/09/24
344,Kulintang a putao/ kulintang a tiniok (Philippine metallophone),598.3,2015/08/11
345,Tulum (Turkish bagpipe),241.5,2017/05/18
346,Sampho (Cambodian barrel drum),773.2,2002/05/14
347,Classical guitar,106.6,1997/05/25
348,Boha (French bagpipe),325.9,2003/04/27
349,Gaita (Portuguese & Spanish bagpipe),489.5,2006/08/12
350,Sac de gemecs (Catalonian bagpipe),228.1,2007/07/13
351,Celesta (idiophone) invented 1886 in Paris by Auguste Mustel.,51.1,2003/05/13
352,Aulochrome (double soprano saxophone),638.8,2004/03/22
353,Reed contrabass,466.4,2014/10/13
354,Tulum (Turkish bagpipe),825.5,2015/04/17
355,Contrabass flute,134.3,2006/04/12
356,Arpeggione (Italian six-string),636.9,2015/01/29
357,Saw sam sai (Thai bowed stringed instrument),63.5,2002/03/18
358,Raita (Moroccan serunai),444.7,2008/07/11
359,Basset horn,660.2,2002/10/12
360,Alto clarinet,501.1,2004/12/20
361,Moodswinger (zither),914.1,2003/05/07
362,Lirone,705.5,2019/05/21
363,Gehu (Chinese cello-like),30.2,2009/12/16
364,Dotara (bass ektara),736.8,2012/12/22
365,Dankiyo (Turkish bagpipe),78.3,1993/08/17
366,Mijwiz (Arabic double pipe),661.7,2001/05/19
367,Guitarr?n (Mexican large bass guitar),482.5,2001/02/08
368,Serunai (Islamic reed instrument),731.7,2011/03/28
369,Moodswinger (zither),789.0,2017/09/11
370,Duct Flute,301.7,2013/07/10
371,Ghatam (Indian drum),82.9,2015/01/05
372,Brian Boru bagpipes,715.0,2007/06/15
373,Viola d’amore,891.9,1997/08/03
374,Raita (Moroccan serunai),747.3,1996/06/28
375,Sleigh Bells,492.2,1998/07/11
376,Bandone?n (Argentinian concertina),213.7,2008/07/16
377,Dholak (North Indian hand drum),554.8,1997/12/02
378,Timple (Canary Islands/ Murcia ukulele),766.3,2000/02/14
379,Baritone sarrusophone,44.5,2017/10/19
380,Carillon (Dutch harmonising bells),989.2,2004/08/03
381,Jew’s harp,940.2,2016/11/25
382,Ocarina,863.9,2004/07/24
383,Steel drum,880.9,2001/05/06
384,Arpa nottolini (Italian hooked harp),733.7,2014/05/22
385,Serpent,913.2,2007/08/04
386,Yazheng (Chinese zither),354.9,2005/06/20
387,Sampho (Cambodian barrel drum),594.3,2001/01/16
388,Angklung (tuned bamboo slide rattle),226.3,1997/01/22
389,Piccolo heckelphone,877.7,2011/06/27
390,Saung (Burmese harp),182.6,2013/04/17
391,Huluhu (Chinese bowed stringed instrument),307.6,2002/08/17
392,Ney (Lebanese Flute),766.2,1997/10/06
393,Subcontrabass saxophone,980.7,1995/11/10
394,Musette de cour (French bagpipe),391.7,2012/07/27
395,Clavichord,684.7,1995/10/17
396,Mando-bass (bass mandolin),891.6,2010/08/18
397,Harpsichord,840.6,2011/12/21
398,Boha (French bagpipe),760.9,2002/08/18
399,Doulophone/ cuprophone,795.5,1995/09/14
400,Rudra veena (Indian plucked stringed instrument),401.2,2015/03/02
401,Bandurria (Spanish / Latin American plucked lute),586.7,2009/07/31
402,Dumbelek (Turkish drum),695.5,2009/02/02
403,Langeleik (Norwegian stringed instrument),27.0,2017/07/24
404,Array Mbira (African thumb piano),929.6,2014/03/11
405,Guan (Chinese pipe),214.8,1997/11/07
406,Zampogna (Italian bagpipe),695.6,2000/06/09
407,Tagutok (Philippine slit drum),776.2,2012/11/10
408,Oboe d’amore,415.4,2012/01/14
409,Flute,28.8,1998/07/11
410,Charango (South American fretted lute),53.4,2018/06/30
411,Angklung (tuned bamboo slide rattle),605.7,2010/02/22
412,Tro u (Cambodian bowed stringed instrument),579.6,2005/07/17
413,Xun (Chinese flute),944.1,2002/11/11
414,Muchosac (Belgian bagpipe),101.1,2011/03/19
415,Theremin (oscillator),457.9,1994/03/11
416,Handbells,857.0,1996/11/22
417,Tumpong (Philippine flute),976.9,2003/07/29
418,Gaita (Portuguese & Spanish bagpipe),726.3,1996/10/18
419,Contrabass flute,429.9,2004/05/05
420,Dotara (bass ektara),278.4,2012/12/07
421,Nyckelharpa (Swedish key harp),571.8,1998/08/12
422,Viola,207.0,2013/03/21
423,Heckelphone,331.3,2000/06/28
424,Dulcimer (hammered zither),426.1,2014/08/11
425,Viola da gamba,402.0,2008/03/29
426,Organ pipe,176.7,2007/11/15
427,Mandocello (large mandolin),725.0,2012/03/08
428,Gusli (Russian harp),935.9,1994/10/21
429,Timpani/ kettle drum,670.5,2011/09/25
430,Qanun (Turkish zither),612.6,1997/10/03
431,Hun (Korean flute),839.9,2014/06/18
432,Sampler,733.0,2005/03/29
433,Classical guitar,682.0,1999/05/02
434,Yazheng (Chinese zither),865.8,2011/01/21
435,Trombone,910.4,2006/08/27
436,Moodswinger (zither),500.9,2015/07/26
437,Clarinet,40.6,1996/06/07
438,Koziol (Polish bagpipe),896.4,1994/07/20
439,Jew’s harp,572.8,2009/06/09
440,Teponaztli (Mexican wooden drum),353.3,2008/07/07
441,Bazooka (telescopic brass tubing),710.8,2014/01/15
442,Gong,120.2,2008/07/23
443,Tabla (Indian/ Pakistani drum),965.7,1995/03/09
444,Pipa (Chinese lute),27.2,2007/04/02
445,Sac de gemecs (Catalonian bagpipe),555.1,1993/05/26
446,Horn,448.1,1996/08/26
447,Oliphant/ Cor d’Oliphant,795.1,2007/04/06
448,Denis d’or (ancient Czech chordophone),637.4,1997/05/28
449,Gan gan (West African small talking drum),334.6,2002/07/08
450,Nyckelharpa (Swedish key harp),886.7,2003/04/29
451,Kulintang/ kolintang (Philippine gong group),284.2,2013/06/16
452,Sleigh Bells,332.0,2003/05/06
453,Bazooka (telescopic brass tubing),537.5,1997/02/16
454,Sheng (Chinese mouth organ),862.7,2004/05/13
455,Quena (Andean flute),730.3,2000/10/15
456,Glass marimba,519.4,2006/02/21
457,Gusli (Russian harp),421.5,2001/05/23
458,Oboe da caccia,712.8,2002/08/20
459,Oliphant/ Cor d’Oliphant,863.4,1995/08/19
460,Naqara (Mongolian war drum),277.2,2007/11/12
461,Sheng (Chinese mouth organ),755.3,2009/05/04
462,Knatele (Finnish zither),407.5,2016/12/21
463,Contra-alto clarinet,478.0,2007/08/26
464,Khim (Cambodian/ Thai hammered dulcimer),109.0,2017/10/07
465,Dulzaina (Spanish oboe),693.7,2013/01/11
466,Washtub bass,275.4,2001/08/02
467,Cimbalom (Eastern European hammered dulcimer),56.1,2004/11/29
468,Vertical viola,601.1,2014/12/19
469,Ektara (Indian one-string),879.0,1997/02/23
470,Xun (Chinese flute),265.2,2003/01/08
471,Gong,588.0,2016/07/06
472,Violin,576.7,1994/03/17
473,Xun (Chinese flute),835.9,1994/06/20
474,Bandone?n (Argentinian concertina),41.2,2007/07/17
475,Pastoral pipes,955.2,1999/05/04
476,Mandocello (large mandolin),715.4,1999/03/18
477,Djembe (West African hand drum),343.1,2004/10/21
478,Conch (seashell horn),997.7,2002/02/27
479,Istarski mih (Croatian bagpipe),57.5,1994/07/16
480,Cornish bagpipes,876.3,2010/06/28
481,Vertical viola,519.4,2003/04/11
482,Transverse Flute (Traditional Flute),22.2,2014/06/08
483,Ney (Lebanese Flute),43.2,2004/06/14
484,Sarrusophone,31.0,1993/10/17
485,Knatele (Finnish zither),982.3,1993/01/10
486,Paixiao (Chinese flute),790.0,2000/05/15
487,Mellotron (polyphonic keyboard),167.0,2012/10/04
488,Piccolo clarinet,260.0,2017/08/30
489,Hocchiku (Japanese flute),971.2,2012/04/23
490,Taphon (Thai drum),606.3,2004/02/05
491,Gaohu (Chinese bowed stringed instrument),791.8,2012/09/17
492,Ghatam (Indian drum),894.8,1993/09/02
493,Tuhu (Chinese bowed stringed instrument),292.2,2018/05/04
494,Synclavier,252.3,2012/12/06
495,Morin khuur/ morin huur (Mongolian fiddle),266.2,2006/09/22
496,Dihu (Chinese large bowed stringed instrument),194.2,2003/06/10
497,Contrabass clarinet,38.8,2002/10/06
498,Leiqin (Chinese bowed instrument),485.5,2003/07/24
499,Oboe,140.8,2004/08/09
500,Leier (German hurdy gurdy),690.4,1993/09/22
501,Darvyra (Greek Duct Flute),213.3,1994/06/22
502,Bass saxophone,980.8,2002/10/22
503,Cromorne,507.6,2013/12/28
504,Calliope (steam organ),689.3,1996/09/11
505,Teponaztli (Mexican wooden drum),358.1,1997/07/10
506,Erxian (Chinese bowed stringed instrument),611.1,1996/05/06
507,Didgeridoo (Aboriginal Natural Trumpet),150.2,2015/04/16
508,Suona (Chinese serunai),686.1,2013/04/22
509,Moodswinger (zither),713.3,1997/09/07
510,Shinobue (Japanese flute),285.5,1997/08/26
511,Kutiyapi (Philippine fretted boat-lute),549.0,2006/02/01
512,Saw sam sai (Thai bowed stringed instrument),649.0,2015/08/13
513,Timple (Canary Islands/ Murcia ukulele),544.8,1998/12/21
514,Launeddas (Sardinian triple clarinet),236.9,2005/08/27
515,Soprano clarinet,818.7,1996/06/18
516,S?ckpipa (Swedish bagpipe),280.4,2004/09/18
517,Alto horn,235.1,1995/08/06
518,Saraswati veena (South Indian lute),142.1,1998/07/23
519,Aru-ding or kubing  (Philippine Jew’s harp),281.2,2003/05/02
520,Snare Drum,286.3,2004/08/09
521,Saraswati veena (South Indian lute),143.4,2007/04/27
522,Khim (Cambodian/ Thai hammered dulcimer),859.3,1999/12/14
523,Hardanger fiddle,363.2,2014/08/16
524,Flageolets,169.3,2012/06/23
525,Tjelempung/ Celempung (Javanese zither),687.7,1995/08/15
526,Cello,552.9,1995/08/18
527,Cavaquinho (Portuguese guitar),577.5,2001/05/07
528,English Horn/ Cor Anglais (French tenor Oboe),544.9,2002/09/18
529,Janggu (Korean drum),694.7,2003/03/08
530,Koudi (Chinese flute),638.9,2004/10/27
531,Heckelphone,658.7,2003/03/07
532,Gandingan (Philippine set of 4 hanging gongs),157.5,2010/08/25
533,Ahoko (Ivory Coast rattle),778.4,2001/06/25
534,Mellophone,469.4,2014/11/18
535,Vertical viola,367.0,1994/08/12
536,Dankiyo (Turkish bagpipe),511.1,2015/02/12
537,Kagul (Philippine slit drum),263.0,2010/11/15
538,Banjo,500.7,2003/10/14
539,Mohan veena (Indian guitar),406.7,1999/12/08
540,Ektara (Indian one-string),273.2,1995/02/15
541,Whip,394.9,2011/04/17
542,Transverse Flute (Traditional Flute),707.9,2000/01/08
543,Kulintang a kayo (Philippine xylophone),278.0,2013/03/16
544,Leier (German hurdy gurdy),709.0,2002/02/21
545,Lasso d’amore,187.6,2004/11/12
546,Hardanger fiddle,895.2,2016/12/23
